Weekend,this_weekend,last_weekend,Title,Studio,Weekend Gross,pct_change,Theater Count,Change,Average,Total Gross,budget_mills,week_number
2019-08-30,83,-,The Chambermaid (2019),KL,1132,-,2,-,566,74959.00,-,10
2019-08-30,45,33,Rocketman,Par.,57633,-0.19,102,-16,565,96332928.00,40,14
2019-08-30,77,78,Be Natural: The Untold Story of Alice Guy-Blaché,Zeit.,2219,0.25,4,1,555,97274.00,-,20
2019-08-30,65,55,Mike Wallace is Here,Magn.,11817,-0.42,24,-13,492,251492.00,-,6
2019-08-30,37,22,The Kitchen (2019),WB (NL),91306,-0.73,189,-431,483,11906792.00,38,4
2019-08-30,85,97,The Queen (2019 re-release),KL,965,6.2,2,-,483,45708.00,-,10
2019-08-30,33,N,Killerman,Blue Fox,153799,-,322,-,478,153799.00,-,1
2019-08-30,50,30,Brian Banks,BST,39741,-0.7,84,-136,473,4272905.00,-,4
2019-08-30,26,N,Bennett's War,FF,430898,-,970,-,444,430898.00,-,1
2019-08-30,31,N,TCM: Lawrence of Arabia (2019 re-release),Fathom,291722,-,661,-,441,291722.00,-,1
2019-08-30,89,96,Born to Be Wild (IMAX),WB,684,3.99,2,-,342,25899152.00,-,439
2019-08-30,79,-,Bethany Hamilton: Unstoppable,ENTMP,1981,-,6,-,330,586025.00,-,8
2019-08-30,76,42,Line Walker 2 Invisible Spy,WGUSA,2507,-0.95,8,-7,313,260872.00,-,3
2019-08-30,91,-,I Do Not Care If We Go Down in History as Barbarians,BWP,294,-,1,-,294,8014.00,-,7
2019-08-30,92,80,Diamantino,KL,228,-0.86,1,-,228,69713.00,-,15
2019-08-30,93,85,Meeting Gorbachev,1091,210,-0.79,1,-2,210,251837.00,-,18
2019-08-30,90,75,RUSH: Cinema Strangiato 2019,Trafalgar,570,-0.78,3,2,190,958907.00,-,2
2019-08-30,95,81,The Mountain,KL,153,-0.91,1,-2,153,51684.00,-,6
2019-08-30,94,98,A Beautiful Planet,IMAX,182,5.5,2,-,91,15554382.00,-,175
2019-08-30,96,82,Piranhas,MBox,138,-0.9,2,-2,69,19203.00,-,5
2019-08-30,97,-,Hubble 3D,WB,84,-,2,-,42,52496181.00,-,491
2019-08-30,98,-,Island of Lemurs: Madagascar (IMAX),WB,19,-,1,-,19,11262281.00,-,268
2019-08-23,26,N,Brittany Runs a Marathon,Amazon,180711,-,5,-,36142,180711.00,-,1
2019-08-23,57,N,Miles Davis: Birth of Cool,Abr.,18258,-,1,-,18258,18258.00,-,1
2019-08-23,51,N,Give Me Liberty,MBox,33261,-,3,-,11087,33261.00,-,1
2019-08-23,60,86,Grateful Dead Meet-Up 2019,Trafalgar,13648,23.82,2,-,6824,534611.00,-,4
